tau,gamma,rho,R0
0.008508320161385637,0.35124289761326843,0.0005934510859419599,1.404960990567017
0.009137198874372183,0.3339036364779024,0.001,1.5871571220478726
0.008508320161385637,0.35124289761326843,0.0005934510859419599,1.404960990567017
0.015801760214565544,0.5592716477937958,0.004534232089451903,1.6387422749932017
0.016432536414720807,0.5617873841219093,0.004739628535573083,1.6965263709926681
0.015801760214565544,0.5592716477937958,0.004534232089451903,1.6387422749932017
0.007089425464278869,0.5816000233128726,0.003328388906928266,0.7069921947148476
0.006583334218589072,0.602518896445942,0.0033039535143431693,0.6337284804351763
0.007089425464278869,0.5816000233128726,0.003328388906928266,0.7069921947148476
0.019567501192023207,0.16014374114765262,0.00023688644911768944,7.086852480178752
0.02,0.16712771389391065,0.001,6.940799781036585
0.019567501192023207,0.16014374114765262,0.00023688644911768944,7.086852480178752
0.00365671273042491,0.6177979407916473,0.006491012985878431,0.34329887550753757
0.0037461007214201476,0.6171784189467033,0.0066254042385018785,0.35204380965422466
0.00365671273042491,0.6177979407916473,0.006491012985878431,0.34329887550753757
0.009682268979158495,0.3660145435951764,0.0035667722784758866,1.5342876686679112
0.01015432200229956,0.3554954304746701,0.0034056251305277425,1.6567039282248626
0.009682268979158495,0.3660145435951764,0.0035667722784758866,1.5342876686679112
0.004397562052056673,0.45962156638120477,0.0017626884860503418,0.5549317474971234
0.004293191451112786,0.4576913520184804,0.0017911094783629765,0.5440459013839689
0.004397562052056673,0.45962156638120477,0.0017626884860503418,0.5549317474971234
0.013181936983234947,0.8260903335883909,0.004565744431968918,0.9255069499561218
0.01218557958340058,0.8018158244371345,0.004028806131069001,0.8814538130790491
0.013181936983234947,0.8260903335883909,0.004565744431968918,0.9255069499561218
0.015694877036227708,0.14925631671005762,0.006930112192425617,6.09892357098389
0.01569723024519841,0.1492421701247555,0.006879293749789846,6.100416212525236
0.015694877036227708,0.14925631671005762,0.006930112192425617,6.09892357098389
0.002084407453148155,0.5444875532359487,0.0014613972077051182,0.2220356215015332
0.0021898606446168456,0.550405152875025,0.0014283605144915876,0.23076077090545768
0.002084407453148155,0.5444875532359487,0.0014613972077051182,0.2220356215015332
0.012280139650239316,0.6118718094827512,0.005394258201735099,1.1640479078713935
0.012739373059470264,0.5903019359911499,0.005262128835264558,1.251704580993197
0.012280139650239316,0.6118718094827512,0.005394258201735099,1.1640479078713935
0.00034881523788335466,0.9999777098051634,0.0003647506088659227,0.0202317347665444
0.0003888210193203389,1.0,0.001,0.022551619120579656
0.00034881523788335466,0.9999777098051634,0.0003647506088659227,0.0202317347665444
0.017349007555755375,0.4286016417027969,0.009208231585749594,2.347733513656407
0.01875228347192586,0.44601372331244993,0.009343825211965043,2.43856272693603
0.017349007555755375,0.4286016417027969,0.009208231585749594,2.347733513656407
0.013067450426545873,0.21610393202104983,0.006773631444263614,3.5071648981649965
0.01266787885715813,0.23062735152345412,0.006851770445810258,3.1858188929531672
0.013067450426545873,0.21610393202104983,0.006773631444263614,3.5071648981649965
0.014982039091445073,0.047588670945972994,0.0066774042969876815,18.259771706806752
0.014207845440099382,0.050337479951772256,0.007017190786370151,16.370605686166286
0.014982039091445073,0.047588670945972994,0.0066774042969876815,18.259771706806752
0.013640366444767476,0.05608295110094852,0.00300407419319514,14.106626671133451
0.013354610774568178,0.059225635503825674,0.002763576914118373,13.07824590375094
0.013640366444767476,0.05608295110094852,0.00300407419319514,14.106626671133451
0.018656354005193772,0.7017769389389676,0.0010697197143500956,1.5418981050264242
0.016220852354210624,0.7345191593186698,0.001,1.2808507778298097
0.018656354005193772,0.7017769389389676,0.0010697197143500956,1.5418981050264242
0.002339152285708152,0.08280721457257556,0.002037524200374342,1.6383938678696344
0.0023276060645183484,0.081058412249232,0.001832080833595572,1.6654798434365248
0.002339152285708152,0.08280721457257556,0.002037524200374342,1.6383938678696344
0.0017521277614995412,0.3859604092831751,0.005597461448555114,0.2633000891353428
0.001916566151407982,0.3968711024671073,0.0056712939820857625,0.28009304807188873
0.0017521277614995412,0.3859604092831751,0.005597461448555114,0.2633000891353428
0.001459316185448906,0.5013904186547711,0.004767624893990013,0.16881124091506639
0.001362211817590903,0.49230804208931145,0.004698945721473552,0.1604854657359816
0.001459316185448906,0.5013904186547711,0.004767624893990013,0.16881124091506639
0.0008161692384995242,0.3803381111051596,0.004189312111374304,0.1244624570896183
0.000824577724651984,0.35262146011718243,0.004398313995502324,0.1356284668945611
0.0008161692384995242,0.3803381111051596,0.004189312111374304,0.1244624570896183
0.013982295988341715,0.8146645129630771,0.001533846875381414,0.9954688763527559
0.013727118879429127,0.8420381816708005,0.0015430881917059278,0.9455306330968226
0.013982295988341715,0.8146645129630771,0.001533846875381414,0.9954688763527559
0.0030030617784750635,0.8980703459139551,0.00756678624597971,0.1939464808564582
0.002924215930775412,0.8549768955821135,0.007731800870871993,0.19837322489223308
0.0030030617784750635,0.8980703459139551,0.00756678624597971,0.1939464808564582
0.007790641002816297,0.9957296009423099,0.004581224073499209,0.45379506417779447
0.007929842914067002,1.0,0.00429411050585465,0.45993088901588614
0.007790641002816297,0.9957296009423099,0.004581224073499209,0.45379506417779447
0.002106903814736702,0.5421404620957873,0.0020587708437788416,0.22540361732516823
0.0021881832674458595,0.558281333059961,0.002160991997866388,0.2273309566276128
0.002106903814736702,0.5421404620957873,0.0020587708437788416,0.22540361732516823
